HorseName,Rank,HorseNum,Age,Weight,HorseWeight,Top1Win,Top2Win,Distance,S1F,Cornor3,G3F,Cornor4,HorseWin,HorseRankInTop2,HorseRankInTop3,Cutted,Male,Female,Good,Rain,Fog
반야동행,4,8,6,56.5,493,72.4,17.1,1400,14.1,37,49.2,55.4,0,0,0,0,1,0,1,0,0
해후,5,3,5,55,453,72.4,17.1,1400,13.4,35.4,47.7,54,0,0,0,0,1,0,1,0,0
킬리의제왕,6,5,5,57,533,72.4,8.5,1400,13.9,35.8,48.1,54.4,0,0,0,0,1,0,1,0,0
서울탱크,7,4,6,52,450,72.4,8.5,1400,13.7,36,48.5,54.8,0,0,0,1,0,0,1,0,0
흥복드림,8,12,4,55,499,29,17.1,1400,13.6,35.8,47.9,54.2,0,0,0,1,0,0,1,0,0
역전의우승,9,11,6,52,461,13.2,1.6,1400,13.7,36.1,48.8,55.1,0,0,0,1,0,0,1,0,0
히비키,10,1,6,53.5,501,72.4,17.1,1400,13.4,35.3,47.6,53.9,0,0,0,1,0,0,1,0,0
파크삭스,11,6,5,52,500,72.4,17.1,1400,13.9,36.3,48.5,54.7,0,0,0,0,1,0,1,0,0
원더풀플라이,12,7,4,57.5,494,5,1.6,1400,13.4,35.6,48.2,54.8,0,0,0,0,1,0,1,0,0
포트스원,1,2,2,53,495,27.6,42.5,1000,13.5,13.5,24,30.1,1,1,1,0,0,1,1,0,0
옥스퍼드킹,2,4,2,55,470,4.4,3.3,1000,13.5,13.5,24,30.1,0,1,1,0,1,0,1,0,0
블랙참,3,5,2,55,466,3.6,3.9,1000,14.6,14.6,25.5,31.7,0,0,1,0,1,0,1,0,0
황금파워,4,12,2,53,478,34.5,106.3,1000,14.3,14.3,25.2,31.4,0,0,0,0,0,1,1,0,0
나인아이,5,3,2,55,485,6.7,106.3,1000,14.2,14.2,25.2,31.4,0,0,0,0,1,0,1,0,0
정문짱,6,9,2,55,475,9.2,1,1000,13.7,13.7,24.5,30.6,0,0,0,0,1,0,1,0,0
퀸오브베스트,7,10,2,53,441,7.3,3.2,1000,13.9,13.9,24.7,30.9,0,0,0,0,0,1,1,0,0
흥드림,8,8,2,55,490,27.6,14.2,1000,13.6,13.6,24.2,30.4,0,0,0,0,1,0,1,0,0
지금여기에,9,6,2,55,436,34.5,106.3,1000,14.5,14.5,25.7,32.1,0,0,0,0,1,0,1,0,0
월드메니피,10,7,2,53,465,6.4,3.9,1000,13.4,13.4,24,30.2,0,0,0,0,0,1,1,0,0
리턴밸리브리,11,1,2,55,501,34.5,1,1000,14.4,14.4,25,31.2,0,0,0,0,1,0,1,0,0
챔피언가문,12,11,2,55,495,34.5,106.3,1000,13.9,13.9,24.8,31,0,0,0,0,1,0,1,0,0
원더풀스톰,1,2,3,56,482,3.7,1.5,1000,13.7,13.7,24.3,30.3,1,1,1,0,1,0,1,0,0
록비트,2,3,3,54,458,7.8,1.4,1000,13.5,13.5,23.9,29.9,0,1,1,0,0,1,1,0,0
어플리트마린,3,1,3,54,468,31.8,7.7,1000,14,14,25,31.2,0,0,1,0,0,1,1,0,0
베스트패밀리,4,4,3,54,437,5,1.6,1000,13.9,13.9,24.8,30.9,0,0,0,0,0,1,1,0,0
미소가득,5,8,3,54,464,17.9,4.4,1000,13.9,13.9,24.7,30.7,0,0,0,0,0,1,1,0,0
아로마,6,10,3,56,470,5.7,2.1,1000,13.6,13.6,24,30,0,0,0,0,1,0,1,0,0
골든배지,7,12,3,52,480,31.8,7.7,1000,14.2,14.2,25.2,31.4,0,0,0,0,0,1,1,0,0
해피나이스,8,7,3,54,468,17.9,7.7,1000,14.8,14.8,25.8,31.9,0,0,0,0,0,1,1,0,0
햇빛향기,9,9,3,54,435,17.9,7.7,1000,13.6,13.6,24,30,0,0,0,0,0,1,1,0,0
히트하트,10,6,3,54,477,31.8,4.4,1000,14.9,14.9,26,32,0,0,0,0,0,1,1,0,0
럭셔리골드,11,11,3,54,476,6.6,7.7,1000,13.5,13.5,24,30,0,0,0,0,0,1,1,0,0
시크릿걸,12,5,3,54,456,17.9,7.7,1000,14.1,14.1,25.3,31.5,0,0,0,0,0,1,1,0,0
매직플랜,1,3,3,54,453,8.4,7.1,1400,13.6,36.8,49.5,55.5,1,1,1,0,0,1,1,0,0
당대로얄,2,2,4,53.5,422,35.2,10.7,1400,14,37.1,49.9,56.1,0,1,1,0,0,1,1,0,0
트루,3,1,3,53,449,35.2,10.7,1400,14.3,37.7,50.6,56.9,0,0,1,0,0,1,1,0,0
경부도령,4,10,3,56,465,8.4,1.8,1400,14.2,37.7,50.6,56.8,0,0,0,0,1,0,1,0,0
달리는빛깔,5,12,3,56.5,470,3.8,1.5,1400,14.3,37.5,50.3,56.5,0,0,0,0,1,0,1,0,0
하이퍼카,6,5,3,56,450,8.4,4.3,1400,14,37.4,50.3,56.5,0,0,0,0,1,0,1,0,0
울트라애니,7,8,3,54.5,466,5.7,1.9,1400,13.6,36.9,49.5,55.5,0,0,0,0,0,1,1,0,0
적광,8,4,4,55,561,11.7,2.1,1400,14,37.4,50.3,56.5,0,0,0,0,1,0,1,0,0
화려,9,11,3,53.5,461,5,1.6,1400,14.4,38.2,51.3,57.8,0,0,0,0,0,1,1,0,0
